date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:39	199/199	---MCZ	200	added ('OK')	text/plain	etag:W/%22adabe26c5d675c20f0592259c36a1502%22	https://www.hurrcollective.com/robots.txt		(from )
12:36:40	163579/163579	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202024%2007:36:37%20GMT	https://www.hurrcollective.com/	D:/my-projects/htTrack/Rent/www.hurrcollective.com/index.html	(from )
12:36:41	4210/4210	---M-Z	200	added ('OK')	application/javascript	etag:%222545de355f4439bc521c8697edff4a7a%22	https://www.hurrcollective.com/cdn-cgi/apps/head/FouuwmuK2w-beNhQA_-r6aZTCV0.js	D:/my-projects/htTrack/Rent/www.hurrcollective.com/cdn-cgi/apps/head/FouuwmuK2w-beNhQA_-r6aZTCV0.js	(from https://www.hurrcollective.com/)
12:36:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2022%20Jan%202024%2007:36:38%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/my-projects/htTrack/Rent/www.googletagmanager.com/gtm.15445.delayed	(from https://www.hurrcollective.com/)
12:36:42	31593/31593	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/themes/le-frog/jquery-ui.min.css	D:/my-projects/htTrack/Rent/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/themes/le-frog/jquery-ui.min.css	(from https://www.hurrcollective.com/)
12:36:43	930140/930140	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jan%202024%2015:15:26%20GMT	https://www.hurrcollective.com/assets/application_v3-12668fba94257f413ad32e0d9eb29353716c7daf105ac001a2202261a10d54c3.css	D:/my-projects/htTrack/Rent/www.hurrcollective.com/assets/application_v3-12668fba94257f413ad32e0d9eb29353716c7daf105ac001a2202261a10d54c3.css	(from https://www.hurrcollective.com/)
12:36:44	8227/8227	---M--	200	added ('OK')	image/png	etag:%22ddd1cde2b39e0f7ed93f98070db903d8%22	https://res.cloudinary.com/dcaptnlz3/image/asset/apple-touch-icon-ddd1cde2b39e0f7ed93f98070db903d8.png	D:/my-projects/htTrack/Rent/res.cloudinary.com/dcaptnlz3/image/asset/apple-touch-icon-ddd1cde2b39e0f7ed93f98070db903d8.png	(from https://www.hurrcollective.com/)
12:36:46	1397/1397	---M--	200	added ('OK')	image/png	etag:%22cd0d9f5fcb206554dd56842d74147c5e%22	https://res.cloudinary.com/dcaptnlz3/image/asset/favicon-32x32-cd0d9f5fcb206554dd56842d74147c5e.png	D:/my-projects/htTrack/Rent/res.cloudinary.com/dcaptnlz3/image/asset/favicon-32x32-cd0d9f5fcb206554dd56842d74147c5e.png	(from https://www.hurrcollective.com/)
12:36:46	858/858	---M--	200	added ('OK')	image/png	etag:%223b1c1db47345f59d6b7fac63dfb3c063%22	https://res.cloudinary.com/dcaptnlz3/image/asset/favicon-16x16-3b1c1db47345f59d6b7fac63dfb3c063.png	D:/my-projects/htTrack/Rent/res.cloudinary.com/dcaptnlz3/image/asset/favicon-16x16-3b1c1db47345f59d6b7fac63dfb3c063.png	(from https://www.hurrcollective.com/)
12:36:47	426/426	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20Feb%202023%2007:20:35%20GMT	https://www.hurrcollective.com/assets/favicons/site-043676d96ad9ffeb81318ad8e28670ef0eda80cade72e94e12914adfff673845.webmanifest	D:/my-projects/htTrack/Rent/www.hurrcollective.com/assets/favicons/site-043676d96ad9ffeb81318ad8e28670ef0eda80cade72e94e12914adfff673845.webmanifest	(from https://www.hurrcollective.com/)
